full_smiles,rejection
CCO.C1=CC(=C(C=C1/C=C/C(=O)O)O)O,0.961
CCCCCC.C=C(C1=CC=CC=C1)CC(C)(C)C2=CC=CC=C2,0.93
CCO.O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,0.059408274
O.CC(C)CO,0.905
CO.N[C@H](C)C1CCCCC1,0.98
CCO.CC1=CC(=CC(=C1)C)C,0.079816217
O.CCN(CC)C(=O)C1=CC=CC(=C1)C,0.961
CC(C)=O.CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C)(C)C5=CC=CC=C5,0.908
CC1=CC=CC=C1.CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C)(C)C3=CC=CC=C3,0.344
CO.OCCC1=C(C)[N+](CC2=CN=C(C)N=C2N)=CS1,1.0
N#CC.COC1=CC(C2=CC=CC(OC)=C2)=CC=C1,0.045479527
CC1=CC=CC=C1.CCCCCCCCCCCCCC,0.349
O.C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,0.94
O.CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC,0.8793
CC1=CC=CC=C1.CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C8=CC=CC=C8)CC(C9=CC=CC=C9)CC(C%10=CC=CC=C%10)CC(C%11=CC=CC=C%11)CC(C)(C)C%12=CC=CC=C%12,0.953
O.C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3(C(C(C(O3)CO)O)O)CO)O)O)O)O)O)O)O,0.667
O.CCN(CC)CCOC(=O)C1=CC=C(C=C1)N,0.994
CO.C1=CC=NC(=C1)C2=CC=CC=N2,0.71
